timestamp,graph_nodes,graph_edges,insertion_time_nodes,insertion_time_edges
2026-06-10T18:55:53.855670,36031,129840,5,0
2026-06-10T18:56:14.032424,36032,129840,4,92
2026-06-10T18:56:53.948253,36033,129843,4,1
2026-06-10T18:57:17.876439,36034,129843,123,727
2026-06-10T18:57:37.176651,36034,129928,5,94
2026-06-10T18:58:00.320444,36037,129928,24,122
2026-06-10T18:58:20.364808,36037,129932,4,84
2026-06-10T18:58:40.363669,36037,129932,4,56
2026-06-10T18:59:00.385008,36037,129932,5,64
2026-06-10T18:59:20.379448,36037,129932,5,58
2026-06-10T18:59:40.453904,36037,129932,4,116
2026-06-10T19:00:00.442574,36037,129944,8,89
2026-06-10T19:00:20.585047,36037,129944,4,172
2026-06-10T19:00:40.473453,36037,129944,4,64
2026-06-10T19:01:00.481546,36037,129944,4,57
2026-06-10T19:01:20.651607,36037,129944,4,122
2026-06-10T19:01:40.660427,36037,129944,5,137
2026-06-10T19:02:00.601560,36037,129944,5,91
2026-06-10T19:02:20.708026,36037,129944,6,170
2026-06-10T19:02:42.350832,36037,129944,5,1815
2026-06-10T19:03:00.708699,36037,129959,4,137
2026-06-10T19:03:20.629098,36037,129959,4,63
2026-06-10T19:03:40.640571,36037,129959,4,58
2026-06-10T19:04:00.821258,36037,129959,4,169
2026-06-10T19:04:20.767790,36037,129959,4,124
2026-06-10T19:04:40.705464,36037,129959,4,59
2026-06-10T19:05:00.756524,36037,129959,4,57
2026-06-10T19:05:20.756679,36037,130007,6,59
2026-06-10T19:05:40.775876,36037,130007,4,57
2026-06-10T19:06:00.866346,36037,130007,5,117
2026-06-10T19:06:20.848747,36037,130007,4,84
2026-06-10T19:06:40.898636,36037,130007,4,88
2026-06-10T19:07:01.020874,36037,130007,5,140
2026-06-10T19:07:20.878382,36037,130007,5,85
2026-06-10T19:07:40.961308,36037,130007,5,86
2026-06-10T19:08:01.028119,36037,130019,4,58
2026-06-10T19:08:20.979314,36037,130019,4,59
2026-06-10T19:08:41.137323,36037,130019,4,114
2026-06-10T19:09:01.096138,36037,130019,5,88
2026-06-10T19:09:21.040934,36037,130019,4,60
2026-06-10T19:09:41.087275,36037,130019,5,85
2026-06-10T19:10:01.131513,36037,130019,6,89
2026-06-10T19:10:21.206003,36037,130028,5,113
2026-06-10T19:10:41.169990,36037,130028,4,93
2026-06-10T19:11:01.139185,36037,130028,4,58
2026-06-10T19:11:21.198705,36037,130028,4,88
2026-06-10T19:11:41.228401,36037,130028,5,91
2026-06-10T19:12:01.161348,36037,130028,4,60
2026-06-10T19:12:21.187412,36037,130028,4,59
2026-06-10T19:12:41.229639,36037,130028,5,85
2026-06-10T19:13:01.271348,36037,130028,4,82
2026-06-10T19:13:21.265345,36037,130037,5,83
2026-06-10T19:13:41.269943,36037,130037,4,56
2026-06-10T19:14:01.284483,36037,130037,3,58
2026-06-10T19:14:21.477611,36037,130037,5,232
2026-06-10T19:14:41.534945,36037,130037,4,199
2026-06-10T19:15:01.328872,36037,130037,5,57
2026-06-10T19:15:21.349845,36037,130037,4,86
2026-06-10T19:15:41.328675,36037,130037,3,57
2026-06-10T19:16:01.381777,36037,130037,4,86
2026-06-10T19:16:21.385185,36037,130052,4,90
2026-06-10T19:16:41.473149,36037,130052,3,113
2026-06-10T19:17:01.503995,36037,130052,5,130
2026-06-10T19:17:21.518010,36037,130052,5,147
2026-06-10T19:17:41.525944,36037,130052,4,112
2026-06-10T19:18:01.426835,36037,130052,4,56
2026-06-10T19:18:21.461213,36037,130070,3,56
2026-06-10T19:18:41.504696,36037,130070,4,90
2026-06-10T19:19:01.558965,36037,130070,4,116
2026-06-10T19:19:21.520402,36037,130070,4,92
2026-06-10T19:19:41.540191,36037,130070,4,58
2026-06-10T19:20:01.512432,36037,130070,4,56
2026-06-10T19:20:21.611131,36037,130070,5,85
2026-06-10T19:20:41.629513,36037,130070,5,86
2026-06-10T19:21:01.652139,36037,130070,4,89
2026-06-10T19:21:21.594838,36037,130110,5,85
2026-06-10T19:21:41.646546,36037,130110,6,83
2026-06-10T19:22:01.675532,36037,130110,3,84
2026-06-10T19:22:21.630229,36037,130110,5,55
2026-06-10T19:22:41.684643,36037,130110,5,87
2026-06-10T19:23:01.702872,36037,130110,5,84
2026-06-10T19:23:21.726350,36037,130110,5,90
2026-06-10T19:23:41.741054,36037,130133,5,87
2026-06-10T19:24:01.785753,36037,130133,5,85
2026-06-10T19:24:21.793061,36037,130133,5,89
2026-06-10T19:24:41.787802,36037,130133,5,82
2026-06-10T19:25:01.859024,36037,130133,4,89
2026-06-10T19:25:21.816133,36037,130133,5,57
2026-06-10T19:25:41.857715,36037,130133,5,84
2026-06-10T19:26:01.905356,36037,130133,5,87
2026-06-10T19:26:21.987194,36037,130133,4,170
2026-06-10T19:26:41.874101,36037,130133,6,58
2026-06-10T19:27:02.152098,36037,130133,5,184
2026-06-10T19:27:21.967211,36037,130133,4,60
2026-06-10T19:27:41.955038,36037,130190,4,62
2026-06-10T19:28:02.196810,36037,130190,4,202
2026-06-10T19:28:21.972023,36037,130190,5,55
2026-06-10T19:28:42.010955,36037,130190,5,90
2026-06-10T19:29:02.053901,36037,130205,7,87
2026-06-10T19:29:22.057382,36037,130205,5,84
2026-06-10T19:29:42.098835,36037,130205,4,82
2026-06-10T19:30:02.210567,36037,130205,4,120
2026-06-10T19:30:22.242017,36037,130205,4,117
2026-06-10T19:30:42.134115,36037,130205,4,86
2026-06-10T19:31:02.123665,36037,130205,5,56
2026-06-10T19:31:22.162716,36037,130205,4,59
2026-06-10T19:31:42.267037,36037,130205,4,86
2026-06-10T19:32:02.229480,36037,130205,4,84
2026-06-10T19:32:22.242280,36037,130255,4,57
2026-06-10T19:32:42.314747,36037,130255,5,90
2026-06-10T19:33:02.273546,36037,130255,5,85
2026-06-10T19:33:22.307473,36037,130255,3,59
2026-06-10T19:33:42.475013,36037,130255,4,144
2026-06-10T19:34:02.304654,36037,130255,5,56
2026-06-10T19:34:22.345482,36037,130255,4,55
2026-06-10T19:34:42.406428,36037,130255,4,85
2026-06-10T19:35:02.361626,36037,130255,5,55
2026-06-10T19:35:22.622108,36037,130255,5,215
2026-06-10T19:35:42.431917,36037,130255,5,84
2026-06-10T19:36:02.487391,36037,130272,4,88
2026-06-10T19:36:22.637839,36037,130272,5,183
2026-06-10T19:36:42.577542,36037,130272,5,116
2026-06-10T19:37:02.588668,36037,130272,4,124
2026-06-10T19:37:22.517556,36037,130292,4,59
2026-06-10T19:37:42.504812,36037,130292,4,58
2026-06-10T19:38:02.552666,36037,130292,5,59
2026-06-10T19:38:22.649170,36037,130292,5,155
2026-06-10T19:38:42.557991,36037,130292,5,58
2026-06-10T19:39:02.787472,36037,130292,4,176
2026-06-10T19:39:22.739142,36037,130299,6,139
2026-06-10T19:39:42.750040,36037,130299,4,176
2026-06-10T19:40:02.709893,36037,130299,4,62
2026-06-10T19:40:22.720104,36037,130299,4,85
2026-06-10T19:40:42.782293,36037,130299,4,84
2026-06-10T19:41:02.876092,36037,130299,5,119
2026-06-10T19:41:22.768578,36037,130299,4,60
2026-06-10T19:41:42.860271,36037,130299,5,113
2026-06-10T19:42:02.790458,36037,130299,4,57
2026-06-10T19:42:23.194766,36037,130320,5,296
2026-06-10T19:42:42.817542,36037,130320,4,58
